시도,인구(만명),1인당GRDP(만원),평균전세(만원),범죄율(10만명당),의료기관수(10만명당),녹지면적비율(%),대중교통이용률(%),문화시설수(개),합계출산율(명),고령화율(%)
서울,939,6122,42000,3850,142,29.3,66.2,1842,0.581,20.4
부산,326,3709,19500,3620,128,38.7,34.5,423,0.683,25.3
대구,235,3137,16000,3540,131,33.1,27.8,298,0.754,22.1
인천,297,4119,24500,3710,108,31.4,38.2,312,0.762,18.8
광주,142,3768,14000,3380,135,26.5,25.4,218,0.699,18.8
대전,145,3822,15200,3290,148,28.9,24.1,237,0.792,19.1
울산,112,8519,15500,2980,98,42.8,16.3,112,0.859,18.6
세종,39,4461,18800,2150,86,48.2,18.7,52,1.028,12.3
경기,1380,4700,28500,3480,104,37.6,35.8,1124,0.789,17.7
강원,154,4256,9300,2870,118,72.4,12.1,245,0.889,26.8
충북,161,5633,8600,2920,112,58.3,11.8,168,0.882,23.1
충남,212,6776,9100,2760,106,54.6,10.4,198,0.883,23.4
전북,175,3798,7700,3190,126,47.2,13.2,214,0.808,26.6
전남,181,5918,6800,2540,132,68.5,8.7,196,1.028,28.5
경북,258,5230,8000,2680,114,65.8,9.2,267,0.897,27.5
경남,326,4655,11300,3050,110,52.1,14.6,298,0.820,23.2
제주,67,3991,16700,4120,122,61.3,11.5,128,0.826,20.1
